,,,,,,,,
,,,,,,,,
,Action ID,Application,Component Name,Current Supplier Name,Current Supplier Grade,Current Supplier Datasheet,Product Grade,Product Description
,NSL223546,Electrical,Panel light ,N/A,N/A,,750C0091,PiCAN™ UF PC White
,NSL223545,Electrical,Extension board,NA,NA,,500C3301,HiLENE™ 15% TF + 15% GF PP Black
,NSL223544,Electrical,CFL BULB,DERCO,NA,,730C2091B,ZiLITE™ 20% GF PBT CFL White
,Need details of PA6 UF UV 2000hr black material like UV certificate.. red sample sent to you for development for new SOP RIF,Automotive,Automotive switches ,Calco,Calco ,,#N/A,#N/A
,NSL223547,Industrial,INDUSTRIAL PUMPS/MOTORS FAN,POLYLINK,PPGF30NAT,,500C3031,HiLENE™ 30% GF PP Natural
,NSL223548,Industrial,INDUSTRIAL PUMPS/MOTORS FAN,NA.,NA.,,500C3331,#N/A
,NSL223549,Electrical,PUSH BOTTAM,CLEANEASE ,NA,,710C3022A,#N/A
,NSL223553,Industrial,PIPE HOUSING (JERNETER),NBD,NA,,730C3091F1,#N/A
,,Industrial,INDUSTRIAL PUMPS/MOTORS FAN,POLYLINK,PPGF30NAT,,,#N/A
,,Industrial,INDUSTRIAL PUMPS/MOTORS FAN,CALCO,NA.,,,#N/A
,,Industrial,CONNECTORS,PI/RAVAGO,N1 230 GF WHT,https://drive.google.com/open?id=1ZxCbsJWF_ttKVg-FtOQWrwgJswK02UHo,,#N/A
,NSL223555,Electrical,"LABORATORY EQUIPMENT, FAN PARTS, CAPACITOR",D.R./AUTOECH-SIRAMAX,DR 1000FRV0 NAT/PP FR V0,https://drive.google.com/open?id=1h13q_05T9Fq7gvtfVMoTDbEbHQ99S5lH,Reject,#N/A
,Need equipment grade against Ultradur® B 4040 G6 ,Automotive,Automotive ,Basf,Ultradur® B 4040 G6,,#N/A,#N/A
,Suggest the equivalent grade of Rynite® FR530 NC010,Automotive,Automotive switches,Dupont,Rynite® FR530 NC010,,#N/A,#N/A
,NSL223554,Industrial,CONNECTORS,PI/RAVAGO,N1 230 GF WHT,https://drive.google.com/open?id=15If7I8_3wYtpbNM0pHM74akRCVXCaLKP,711C3002IM,#N/A
,NSL223554,Industrial,HEAVY DUTY CLAMP/TREFOIL CLAMP,RAVAGO/PI,PA6 GF30 BLACK,https://drive.google.com/open?id=1jmc9b6ERBT26YMzOBY9Ynkw_pDePsM6Y,711C3002IM,#N/A
,NSL223557,Industrial,CONNECTORS,PI/RAVAGO,N1 230 GF WHT,https://drive.google.com/open?id=1935ra6jizWisWJL55KR_3Ce01FV0nMp-,710C3091,CiLON™ 30% GF White
,NSL223559,Industrial,NO,calco,711C0092,,711C0092,CiLON™ Unfilled PA 6 Milky White
