Product Name,Code,Batch No,"MFI (gm/10min)
(min)","MFI (gm/10min)
(max)","Density
(gm/cc)
(min)","Density
(gm/cc)
(max)","Ash Content
(%)
(min)","Ash Content
(%)
(max)","Moisture
(%)","TS @ yield(MPa)
(min)","TS @ yield(MPa)
(max)","El@yl ( % )
(min)","El@yl ( % )
(max)","Flexural Modulus(MPa)
(min)","Flexural MS(MPa)
(max)","Flexural Strength @ PL(MPa)
(min)","FS @ PL(MPa)
(max)",Izod imp(J/m)(min),"500
(min)","500
(max)",Izod imp(J/m)(max),Flammability @3.2 mm (Rating),"Flammability
(thickness (mm))","HDT 
(Min) ( °C )","HDT
(max) (°C)",Glow Wire Test @ 3.2mm (°C),"Glow Wire Test
thickness (mm)","El@Brk ( % )
(min)","El@Brk ( % )
(max)",Remark,Rev. No.,COLOR,"Mould Shrinkage, Linear(%)",Water Absorption(%),"Un-Notched Izod Impact Strength @ 23°C, 3.2 mm		","Melting Point(°C)
(min)","Un-annealed, HDT @ 0.455 MPa	",Vicat Softening Point,Coefficient of Linear Thermal Expansion                ,Comparative Tracking Index,Dielectric Strength(KV/mm),Dielectric Constant(Unit Less),Volume Resistivity (Ohm.cm),Surface Resistivity(Ohm),Drying Temperature Dehumidified dryer(°C),Drying Time(Hrs),Rear Temperature(°C),Middle Temperature(°C),Front Temperature,Nozzle Temperature(°C),Mold Temperature(°C),MFI TEST CONDITION,"Mould Shrinkage, transverse","Tensile Strength at Yield, TEST CONDITION","Tensile Modulus, TEST CONDITION",Elongation at Yield TEST CONDITION,Flexural Strength TEST CONDITION,Flammability @0.8,Flammability @1.6,GWT @0.8,GWT @1.6,L (min),a (min),b (min),Issue Date,L (max),a (max),b (max),,ROHS,REACH,Halogen Free,Long Cut,Color Variation (Black Spot Free),Finish (Shine/Dull),Recycle Content Type (PIR/PCR),PIR %tage,PCR %tage,Yellow Card,Phosphorus Free,Persistent organic pollutants (POP),Aesthetic function,Railway fire smoke requirements (EN45545),Friction resistance,"Fatigue resistance  {ISO 13003 (flexure fatigue),ISO 15850 (delamination)}",Ozone resistance,Chemical resistance ,Laser printing,Pad printing,Labelling ,"Welding Precise mode (laser, ultrasonic, ..)",Delta E,Transmittance,GWT or UL Seconds
HiLENE™ Unfilled PP FR White,500C0091F,,20,30,0.93,0.97,,8,0.2,25,31,6,10,"1,000.00","1,800.00",37,43,60,,,,V2,3.2,60,70,850,0.8,,,,Rev. No. 00,White,2,0.25,,160 ± 3,,,,,,,,,80 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200, 60 - 80,230°C/2.16kg,2,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,V2,,,,,,5/10/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,3
HiLENE™ Unfilled FR PP Natural,500C0031F,,10,20,0.95,0.99,,1,0.2,22,28,6,10,"1,000.00","1,800.00",32,38,60,,,,V2,0.8,55,65,850,0.8,,,,Rev. No. 01,Natural,2,0.25,,160 ± 3,105 ± 5,,,,,,,,70 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200,60 - 80,230°C/2.16kg,2,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,V2,,,,,,5/10/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
HiLENE™ 15% TF PP Lemon Green,500C1151,,8,12,0.94,0.98,16,20,0.15,24,30,6,10,"1,200.00","1,400.00",37,43,50,,,,,3.2,70,80,,,,,,Rev. No. 00,Lemon Green,1.8,0.25,,160 ± 3,,,,,,,,,80 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200, 60 - 80,230°C/2.16kg,2,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,10/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
HiLENE™ 10% TF PP Natural,500C1131,,17,23,0.93,0.97,8,12,0.15,27,33,8,10,"1,200.00","1,400.00",42,48,37,,,,,3.2,70,80,,,,,,Rev. No. 01,Natural,1.8,0.25,,160 ± 3,,,,,,,,,80 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200, 60 - 80,230°C/2.16kg,2,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,10/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiLENE™ 10% TF PP Navy Blue,500C1161,,12,,1,1.04,16,20,0.15,24,30,6,10,"1,100.00","1,500.00",36,46,50,,,,,3.2,65,75,,,,,,Rev. No. 00,Navy Blue,,0.25,,160 ± 3,,,,,,,,,80 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200, 60 - 80,230°C/2.16kg,2,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
HiLENE™ 10 % TF PP Mid Grey,500C1181,,17,27,0.98,1.02,19,23,0.15,24,30,6,10,"1,200.00","1,400.00",37,43,45,,,,,3.2,70,80,,,,,,Rev. No. 00,Grey,1.5,0.25,,160 ± 3,,,,,,,,,80 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200, 60 - 80,230°C/2.16kg,1.8,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,10/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
HiLENE™ PP 10%GF Dark Grey,500C1182,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,Rev. No. 00,Dark Grey,,0.25,,160 ± 3,,,,,,,,,80 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200, 60 - 80,230°C/2.16kg, -,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
HiLENE™ PP Grey Compound,500C1185,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,Rev. No. 00,Grey,,0.25,,160 ± 3,,,,,,,,,80 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200, 60 - 80,230°C/2.16kg, -,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
HiLENE™ 10% TF PP Black,500C1201,,10,20,0.94,0.98,8,12,0.15,24,30,6,10,"1,000.00","1,200.00",32,38,40,,,,,3.2,60,70,,,,,,Rev. No. 00,Black,,0.25,,160 ± 3,,,,,,,,,80 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200, 60 - 80,230°C/2.16kg, -,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiLENE™ 10% TF PP Natural,500C1231,,10,20,1,1.04,16,20,0.15,23,29,6,10,"1,100.00","1,300.00",32,38,40,,,,,3.2,65,75, ,,,,,Rev. No. 00,Natural,,0.25,,160 ± 3,,,,,,,,,80 - 90,4-Feb,160 - 170,170 - 180,180 - 190,190 - 200, 60 - 80,230°C/2.16kg, -,5 mm/min,5 mm/min,5 mm/min,2 mm/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
